stars_list,avg_rating,num_movies,rating_class,relative_freq,weighted_score
Masako Nozawa,0.6942105263157895,57,1,0.012181283137898537,0.008456374978362196
Patrick Stewart,0.6550877192982457,57,1,0.012181283137898537,0.00797980898893213
Fred MacMurray,0.6078947368421053,57,0,0.012181283137898537,0.007404937907512006
Dean Cain,0.4573684210526316,57,0,0.012181283137898537,0.0055713342351757
Frank Sinatra,0.6305263157894736,57,1,0.012181283137898537,0.007680619578527603
Stanley Tucci,0.5978947368421053,57,0,0.012181283137898537,0.0072831250761330206
Don Messick,0.6491228070175439,57,1,0.012181283137898537,0.007907148703548174
Taylor Swift,0.7280701754385965,57,1,0.012181283137898537,0.008868828951277006
Casper Van Dien,0.40543859649122804,57,0,0.012181283137898537,0.004938762338891845
Colin Firth,0.6203508771929824,57,1,0.012181283137898537,0.007556669679931443
Michael Keaton,0.6150877192982457,57,1,0.012181283137898537,0.007492557663416189
Kirsten Dunst,0.6159649122807017,57,1,0.012181283137898537,0.007503242999502064
Matthew Lillard,0.586140350877193,57,0,0.012181283137898537,0.007139941572582283
Forest Whitaker,0.5952631578947368,57,0,0.012181283137898537,0.0072510690678753926
Anupam Kher,0.5650877192982456,57,0,0.012181283137898537,0.006883493506521262
George Sanders,0.6136842105263157,57,1,0.012181283137898537,0.007475461125678786
Naomi Watts,0.6035087719298246,57,0,0.012181283137898537,0.007351511227082626
Stacy Keach,0.5882456140350878,57,0,0.012181283137898537,0.007165586379188386
Marlon Brando,0.6691228070175439,57,1,0.012181283137898537,0.008150774366306145
Guy Pearce,0.6133928571428572,56,1,0.011967576416181019,0.007340825890996751
Kate Winslet,0.6451785714285715,56,1,0.011967576416181019,0.007721223855653933
Jean-Claude Van Damme,0.4955357142857143,56,0,0.011967576416181019,0.00593036152766113
Ashleigh Ball,0.6019642857142857,56,0,0.011967576416181019,0.007204053589097538
J.K. Simmons,0.6594642857142857,56,1,0.011967576416181019,0.007892189233027947
Kris Kristofferson,0.5939285714285714,56,0,0.011967576416181019,0.007107885564324654
